Number of clusters: 4

Cluster 1:
60.0 90.0 706.0 
57.0 77.0 717.0 
57.0 72.0 728.0 
56.0 80.0 723.0 
55.0 88.0 746.0 
59.0 83.0 730.0 
50.0 75.0 730.0 
59.0 79.0 742.0 
53.0 73.0 740.0 
59.0 80.0 760.0 
51.0 85.0 716.0 
57.0 81.0 748.0 
59.0 76.0 717.0 
57.0 85.0 714.0 
52.0 86.0 730.0 

Cluster 2:
70.0 30.0 613.0 
77.0 26.0 649.0 
71.0 23.0 622.0 
72.0 26.0 610.0 
79.0 30.0 644.0 
84.0 29.0 645.0 
90.0 24.0 629.0 
87.0 22.0 641.0 
83.0 22.0 627.0 
76.0 26.0 641.0 
73.0 28.0 615.0 
79.0 30.0 640.0 
77.0 21.0 644.0 
90.0 21.0 627.0 
78.0 23.0 636.0 
88.0 20.0 637.0 
73.0 27.0 624.0 
86.0 24.0 623.0 
88.0 20.0 633.0 
70.0 22.0 642.0 
84.0 22.0 606.0 
90.0 26.0 625.0 
71.0 29.0 631.0 
74.0 30.0 634.0 
85.0 27.0 615.0 
78.0 29.0 603.0 
81.0 24.0 603.0 
75.0 26.0 643.0 
78.0 23.0 640.0 
74.0 25.0 601.0 
83.0 30.0 632.0 
79.0 28.0 631.0 
76.0 27.0 640.0 
73.0 23.0 650.0 

Cluster 3:
51.0 85.0 831.0 
60.0 78.0 777.0 
54.0 82.0 822.0 
58.0 71.0 787.0 
56.0 85.0 808.0 
57.0 73.0 790.0 
53.0 85.0 849.0 
53.0 71.0 836.0 
58.0 80.0 824.0 
58.0 82.0 777.0 
53.0 75.0 843.0 
56.0 70.0 795.0 
58.0 78.0 782.0 
54.0 71.0 827.0 
60.0 89.0 837.0 
57.0 89.0 827.0 
50.0 78.0 792.0 
56.0 87.0 824.0 

Cluster 4:
32.0 50.0 542.0 
36.0 41.0 516.0 
27.0 48.0 501.0 
23.0 50.0 517.0 
38.0 48.0 522.0 
24.0 51.0 545.0 
24.0 50.0 528.0 
30.0 48.0 503.0 
23.0 57.0 542.0 
29.0 59.0 528.0 
23.0 52.0 526.0 
25.0 54.0 533.0 
39.0 58.0 510.0 
24.0 57.0 508.0 
36.0 48.0 519.0 
25.0 43.0 508.0 
27.0 56.0 536.0 
25.0 60.0 530.0 
36.0 53.0 539.0 
35.0 40.0 516.0 
31.0 41.0 523.0 
31.0 55.0 523.0 
28.0 48.0 521.0 
21.0 52.0 527.0 
24.0 49.0 539.0 
22.0 44.0 532.0 
27.0 55.0 527.0 
26.0 44.0 531.0 
38.0 45.0 539.0 
24.0 40.0 521.0 
26.0 40.0 547.0 
24.0 42.0 508.0 
37.0 48.0 529.0 

